model,trial_id,fold,dataset,random_seed,base_seed,train_acc,val_acc,test_acc,elapsed_time,file_path,generalization_gap,_agg_trial,hyperparameters,max_depth,actual_depth,n_leaves,failed,model_clean
ShapeFBT,14,1,skin,56,42,0.91395,0.915082,0.913246,744.039531,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_14_1.json,0.0007040000000000379,14,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,25,3,skin,67,42,0.88795,0.889986,0.888313,278.678231,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_25_3.json,0.0003630000000000022,25,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 500}",,,,,
ShapeFBT,77,1,skin,119,42,0.577688,0.580797,0.580062,1326.624691,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_77_1.json,0.0023739999999999872,77,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 100}",,,,,
XGBoost,97,1,skin,139,42,0.93384,0.933935,0.932955,1.195742,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_97_1.json,0.0008850000000000247,97,"{""colsample_bytree"": 0.75, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",,,,,
ShapeFBT,4,2,skin,46,42,0.893383,0.893006,0.89525,1388.036257,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_4_2.json,0.001866999999999952,4,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,194,3,skin,236,42,0.893587,0.894475,0.893802,1135.764215,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_194_3.json,0.00021499999999996522,194,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 250}",,,,,
XGBoost,164,3,skin,206,42,0.927206,0.926671,0.92763,0.872553,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_164_3.json,0.00042399999999997995,164,"{""colsample_bytree"": 0.5, ""gamma"": 5.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
XGBoost,136,1,skin,178,42,0.902314,0.901902,0.903391,0.808855,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_136_1.json,0.0010770000000001057,136,"{""colsample_bytree"": 0.25, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
ShapeFBT,58,3,skin,100,42,0.89895,0.899984,0.899718,2693.733687,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_58_3.json,0.0007679999999999909,58,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 500}",,,,,
XGBoost,103,4,skin,145,42,0.903124,0.900065,0.901902,0.753107,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_103_4.json,0.0012220000000000564,103,"{""colsample_bytree"": 0.5, ""gamma"": 5.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 250, ""subsample"": 0.5}",,,,,
ShapeFBT,51,0,skin,93,42,0.5698,0.568922,0.569758,892.729582,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_51_0.json,4.199999999998649e-05,51,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 500}",,,,,
XGBoost,110,0,skin,152,42,0.902669,0.902677,0.902187,0.568127,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_110_0.json,0.00048200000000009346,110,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50, ""subsample"": 1.0}",,,,,
XGBoost,142,2,skin,184,42,0.933339,0.932425,0.933649,0.923238,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_142_2.json,0.00030999999999992145,142,"{""colsample_bytree"": 0.75, ""gamma"": 5.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 0.63}",,,,,
XGBoost,119,3,skin,161,42,0.933537,0.933037,0.934465,0.545397,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_119_3.json,0.0009280000000000399,119,"{""colsample_bytree"": 0.75, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.63}",,,,,
