model,dataset,n_estimators,max_depth,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,generalization_gap_mean,generalization_gap_std
ShapeFBT,bidding,40,5,0.9790688,0.01059561525820941,0.9787974,0.011222102712949995,0.9777074000000001,0.012187762337689343,0.0013614,0.0036946975924965764
ShapeFBT,bidding,60,3,0.9798372000000001,0.010841236654551905,0.981329,0.009253469754637936,0.976759,0.013020449012994881,0.0030782,0.0038672823403522014
ShapeFBT,bidding,60,4,0.9798826,0.010755207450347047,0.9803796,0.009533409872653085,0.9783398,0.012126079918918507,0.0015428,0.003171010990204859
ShapeFBT,bidding,60,5,0.9752714000000001,0.015205862596380355,0.9759494,0.014901952700904693,0.9739131999999999,0.014251288106694033,0.0013582,0.0052041585967378045
ShapeFBT,bidding,80,3,0.9795210000000001,0.0105835764040328,0.9797468,0.009320976139868584,0.9780238000000001,0.013054022069844956,0.0014972000000000002,0.004082097524557687
ShapeFBT,bidding,80,4,0.9793854,0.010526458773015737,0.9800632,0.011109778089592966,0.9778658,0.012310119727281242,0.0015195999999999999,0.0044272734611722365
ShapeFBT,bidding,80,5,0.976718,0.014544797970408533,0.9768988000000001,0.01293221112957871,0.9740712,0.014244687192072685,0.0026468,0.002722624873169273
ShapeFBT,bidding,100,3,0.979747,0.01041326516996467,0.9800632,0.009401207645829305,0.9788142000000001,0.01188908460311385,0.0009327999999999999,0.0032227151130684822
ShapeFBT,bidding,100,4,0.9802441999999999,0.01044998931578398,0.9784808,0.01110994899628254,0.976917,0.011596575852379856,0.0033272,0.0036104018751380025
ShapeFBT,bidding,100,5,0.9755426,0.015881894165999215,0.9746834,0.01594116130650465,0.9732806,0.016020334618852338,0.002262,0.0035822693226500993
ShapeFBT,magic,10,3,0.7948522,0.0016465648180378372,0.785789,0.002828217283024738,0.789387,0.008746427413521477,0.0054652,0.0094624744226867
ShapeFBT,magic,10,4,0.8035674,0.0063837527990986374,0.7904262,0.006550040969337521,0.798281,0.010672971540297534,0.005286399999999999,0.009488300074302035
ShapeFBT,magic,10,5,0.8047205999999999,0.011373337342222834,0.7884816,0.013508941679495122,0.7964127999999999,0.017955503674361245,0.0083078,0.012149313157541048
ShapeFBT,magic,20,3,0.793421,0.0032478177288758387,0.7850412,0.00328557250718959,0.7863974,0.009660766677650373,0.0070236000000000005,0.01038781985307793
ShapeFBT,magic,20,4,0.809655,0.006520890928393122,0.7919224,0.009540052505096612,0.8033632,0.0074756713210253,0.0062918,0.010718969362769911
ShapeFBT,magic,20,5,0.8066503333333334,0.005986102432579441,0.7853403333333334,0.009780222151532859,0.79148,0.009160727700352192,0.015170333333333334,0.01347969043907661
