model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,magic,0,0,20,4,0.801346,0.783844,0.78849,0.012856,14.273869,fbt_capability_magic_n20_d4_trial_0_fold_0.json
FBT,magic,0,0,20,3,0.796006,0.786836,0.784753,0.011253,5.369778,fbt_capability_magic_n20_d3_trial_0_fold_0.json
FBT,magic,0,0,60,4,0.797501,0.786088,0.785501,0.012,49.573434,fbt_capability_magic_n60_d4_trial_0_fold_0.json
FBT,magic,0,0,60,5,0.810317,0.789828,0.789611,0.020706,88.540605,fbt_capability_magic_n60_d5_trial_0_fold_0.json
FBT,magic,0,0,40,3,0.808929,0.804039,0.798206,0.010723,14.819971,fbt_capability_magic_n40_d3_trial_0_fold_0.json
FBT,magic,0,0,100,3,0.810638,0.79282,0.800448,0.01019,39.890455,fbt_capability_magic_n100_d3_trial_0_fold_0.json
FBT,magic,0,0,100,5,0.800705,0.803291,0.789238,0.011467,132.68403,fbt_capability_magic_n100_d5_trial_0_fold_0.json
FBT,magic,0,0,40,5,0.789918,0.780105,0.77429,0.015628,58.982417,fbt_capability_magic_n40_d5_trial_0_fold_0.json
FBT,magic,0,0,40,4,0.814803,0.806283,0.804933,0.00987,33.563482,fbt_capability_magic_n40_d4_trial_0_fold_0.json
FBT,magic,0,0,100,4,0.815017,0.796559,0.80157,0.013447,68.061925,fbt_capability_magic_n100_d4_trial_0_fold_0.json
FBT,magic,0,0,80,4,0.802093,0.78534,0.78849,0.013603,68.304481,fbt_capability_magic_n80_d4_trial_0_fold_0.json
FBT,magic,0,0,80,5,0.798782,0.79282,0.784753,0.014029,105.681692,fbt_capability_magic_n80_d5_trial_0_fold_0.json
FBT,magic,0,0,80,3,0.815764,0.803291,0.809043,0.006721,34.453118,fbt_capability_magic_n80_d3_trial_0_fold_0.json
FBT,magic,0,1,10,4,0.807327,0.805535,0.78849,0.018837,4.792256,fbt_capability_magic_n10_d4_trial_0_fold_1.json
FBT,magic,0,1,10,5,0.801559,0.796559,0.780643,0.020916,12.05311,fbt_capability_magic_n10_d5_trial_0_fold_1.json
FBT,magic,0,1,10,3,0.795472,0.786836,0.777653,0.017819,2.38607,fbt_capability_magic_n10_d3_trial_0_fold_1.json
FBT,magic,0,1,60,5,0.803802,0.772625,0.786622,0.01718,96.956853,fbt_capability_magic_n60_d5_trial_0_fold_1.json
FBT,magic,0,1,60,4,0.804016,0.770381,0.787743,0.016273,58.03163,fbt_capability_magic_n60_d4_trial_0_fold_1.json
FBT,magic,0,1,20,3,0.794404,0.778609,0.775037,0.019367,5.568573,fbt_capability_magic_n20_d3_trial_0_fold_1.json
FBT,magic,0,1,20,4,0.787461,0.780853,0.773543,0.013918,14.691199,fbt_capability_magic_n20_d4_trial_0_fold_1.json
FBT,magic,0,1,20,5,0.755741,0.740464,0.737294,0.018447,31.686553,fbt_capability_magic_n20_d5_trial_0_fold_1.json
FBT,magic,0,1,60,3,0.811599,0.798055,0.793348,0.018251,28.688235,fbt_capability_magic_n60_d3_trial_0_fold_1.json
FBT,magic,0,1,40,4,0.796326,0.780853,0.775411,0.020915,32.955031,fbt_capability_magic_n40_d4_trial_0_fold_1.json
FBT,magic,0,1,100,4,0.816725,0.788332,0.793348,0.023377,84.278112,fbt_capability_magic_n100_d4_trial_0_fold_1.json
FBT,magic,0,1,100,5,0.808929,0.773373,0.787743,0.021186,117.238214,fbt_capability_magic_n100_d5_trial_0_fold_1.json
FBT,magic,0,1,40,5,0.802948,0.770381,0.783632,0.019316,64.265256,fbt_capability_magic_n40_d5_trial_0_fold_1.json
FBT,magic,0,1,40,3,0.812346,0.793568,0.792227,0.020119,15.447178,fbt_capability_magic_n40_d3_trial_0_fold_1.json
FBT,magic,0,1,100,3,0.813521,0.783096,0.796712,0.016809,39.336707,fbt_capability_magic_n100_d3_trial_0_fold_1.json
FBT,magic,0,1,80,3,0.811278,0.794316,0.792227,0.019051,40.847631,fbt_capability_magic_n80_d3_trial_0_fold_1.json
