dataset,fold,trial_id,base_seed,random_state,n_estimators,max_depth,n_features,n_train_samples,fit_time_sec,train_acc,val_acc,test_acc,n_trees,total_leaves,mean_leaves_per_tree,std_leaves_per_tree,max_leaves_single_tree,mean_max_depth_per_tree,max_depth_any_tree,n_distinct_split_features,split_feature_entropy_bits
raisin,0,0,42,42,100,5,7,630,0.10616031200000009,0.9888888888888889,0.8555555555555555,0.85,100,1380,13.8,5.99666574022598,26,5.0,5,7,2.7259443024763748
raisin,1,0,42,42,10,3,7,630,0.012678199000006884,0.8888888888888888,0.8333333333333334,0.8555555555555555,10,80,8.0,0.0,8,3.0,3,7,2.2293235643644027
raisin,1,0,42,42,10,4,7,630,0.022478374000002077,0.9142857142857143,0.8666666666666667,0.8555555555555555,10,136,13.6,0.7999999999999999,15,4.0,4,7,2.4998991041519556
raisin,1,0,42,42,10,5,7,630,0.02553542400001163,0.9285714285714286,0.8666666666666667,0.8555555555555555,10,216,21.6,2.1540659228538015,25,5.0,5,7,2.5480780487528647
raisin,1,0,42,42,20,3,7,630,0.015365181000007055,0.8952380952380953,0.8666666666666667,0.8555555555555555,20,158,7.9,0.3,8,3.0,3,7,2.3557959150537946
raisin,1,0,42,42,20,4,7,630,0.018153308999998785,0.9238095238095239,0.8666666666666667,0.8611111111111112,20,271,13.55,0.739932429347437,15,4.0,4,7,2.5534421013330593
raisin,1,0,42,42,20,5,7,630,0.02516788900000222,0.9365079365079365,0.8666666666666667,0.8611111111111112,20,426,21.3,1.977371993328519,25,5.0,5,7,2.6406897067673687
raisin,1,0,42,42,40,3,7,630,0.043163980000002766,0.9079365079365079,0.8777777777777778,0.8611111111111112,40,304,7.6,0.6244997998398398,8,3.0,3,7,2.5247819279764965
raisin,1,0,42,42,40,4,7,630,0.04593448599999306,0.9349206349206349,0.8777777777777778,0.8666666666666667,40,501,12.525,1.9873034494007202,15,4.0,4,7,2.6184925501196874
raisin,1,0,42,42,40,5,7,630,0.05766241200001332,0.9523809523809523,0.8666666666666667,0.8666666666666667,40,722,18.05,4.324060591619872,25,5.0,5,7,2.6704355895732705
raisin,1,0,42,42,60,3,7,630,0.22144710999999973,0.9158730158730158,0.8777777777777778,0.8555555555555555,60,419,6.983333333333333,1.258195356673818,8,3.0,3,7,2.5828772450955766
raisin,1,0,42,42,60,4,7,630,0.09109772400000793,0.9492063492063492,0.8777777777777778,0.8555555555555555,60,682,11.366666666666667,2.9038288899696245,15,4.0,4,7,2.662342446241701
raisin,1,0,42,42,60,5,7,630,0.0637003209999989,0.9634920634920635,0.8555555555555555,0.8777777777777778,60,938,15.633333333333333,5.375768678885736,25,5.0,5,7,2.6930143174681764
raisin,1,0,42,42,80,3,7,630,0.04481924299999207,0.926984126984127,0.8888888888888888,0.8555555555555555,80,531,6.6375,1.4075133214289661,8,3.0,3,7,2.623350030451088
raisin,1,0,42,42,80,4,7,630,0.12252961899999093,0.9650793650793651,0.8777777777777778,0.8666666666666667,80,859,10.7375,3.180973710988508,15,4.0,4,7,2.6852515859157484
raisin,1,0,42,42,80,5,7,630,0.10185812800000349,0.9793650793650793,0.8555555555555555,0.8777777777777778,80,1158,14.475,5.520360042605916,25,5.0,5,7,2.709889916202595
raisin,1,0,42,42,100,3,7,630,0.0492817109999919,0.9349206349206349,0.8777777777777778,0.8722222222222222,100,664,6.64,1.410815367083872,8,3.0,3,7,2.676537860104085
raisin,1,0,42,42,100,4,7,630,0.14990198899999996,0.9714285714285714,0.8666666666666667,0.8722222222222222,100,1018,10.18,3.244626326713139,15,4.0,4,7,2.6964408189814226
raisin,1,0,42,42,100,5,7,630,0.21167407900000512,0.9904761904761905,0.8666666666666667,0.8777777777777778,100,1361,13.61,5.340215351462897,25,5.0,5,7,2.7059071801150916
raisin,2,0,42,42,10,3,7,630,0.019640222999996126,0.8873015873015873,0.8444444444444444,0.8888888888888888,10,80,8.0,0.0,8,3.0,3,6,2.174020526493068
raisin,2,0,42,42,10,4,7,630,0.011466333999990752,0.9063492063492063,0.8333333333333334,0.8944444444444445,10,143,14.3,1.1874342087037917,16,4.0,4,7,2.4854200832650593
raisin,2,0,42,42,10,5,7,630,0.020980966000010426,0.9222222222222223,0.8222222222222222,0.8888888888888888,10,218,21.8,2.2271057451320084,25,5.0,5,7,2.660876225811957
raisin,2,0,42,42,20,3,7,630,0.03905582999999524,0.8952380952380953,0.8333333333333334,0.8944444444444445,20,160,8.0,0.0,8,3.0,3,7,2.3356939057303157
raisin,2,0,42,42,20,4,7,630,0.019951704999996878,0.9158730158730158,0.8111111111111111,0.9111111111111111,20,273,13.65,1.194780314534852,16,4.0,4,7,2.530291895287206
raisin,2,0,42,42,20,5,7,630,0.07047291599999994,0.9301587301587302,0.8333333333333334,0.9,20,437,21.85,2.219797288042311,25,5.0,5,7,2.630055945820526
raisin,2,0,42,42,40,3,7,630,0.06881366900000785,0.9047619047619048,0.8111111111111111,0.9111111111111111,40,306,7.65,0.6144102863722254,8,3.0,3,7,2.574012067204099
